ts_level,ts_label,timeslice_id,season_code,tod_code,n_seasons,n_tod_blocks,months,hours_1indexed,n_hours_per_day,n_days_in_season,annual_hours,fraction_of_year
ts_24,TS24,S6_H4,S6,H4,6,4,"[10, 11]","[19, 20, 21, 22, 23, 24]",6,61,366,0.041781
ts_36,TS36,S1_H1,S1,H1,6,6,"[1, 12]","[1, 2, 3, 4]",4,62,248,0.028311
ts_36,TS36,S1_H2,S1,H2,6,6,"[1, 12]","[5, 6, 7, 8]",4,62,248,0.028311
ts_36,TS36,S1_H3,S1,H3,6,6,"[1, 12]","[9, 10, 11, 12]",4,62,248,0.028311
ts_36,TS36,S1_H4,S1,H4,6,6,"[1, 12]","[13, 14, 15, 16]",4,62,248,0.028311
ts_36,TS36,S1_H5,S1,H5,6,6,"[1, 12]","[17, 18, 19, 20]",4,62,248,0.028311
ts_36,TS36,S1_H6,S1,H6,6,6,"[1, 12]","[21, 22, 23, 24]",4,62,248,0.028311
ts_36,TS36,S2_H1,S2,H1,6,6,"[2, 3]","[1, 2, 3, 4]",4,59,236,0.026941
ts_36,TS36,S2_H2,S2,H2,6,6,"[2, 3]","[5, 6, 7, 8]",4,59,236,0.026941
ts_36,TS36,S2_H3,S2,H3,6,6,"[2, 3]","[9, 10, 11, 12]",4,59,236,0.026941
ts_36,TS36,S2_H4,S2,H4,6,6,"[2, 3]","[13, 14, 15, 16]",4,59,236,0.026941
ts_36,TS36,S2_H5,S2,H5,6,6,"[2, 3]","[17, 18, 19, 20]",4,59,236,0.026941
ts_36,TS36,S2_H6,S2,H6,6,6,"[2, 3]","[21, 22, 23, 24]",4,59,236,0.026941
ts_36,TS36,S3_H1,S3,H1,6,6,"[4, 5]","[1, 2, 3, 4]",4,61,244,0.027854
ts_36,TS36,S3_H2,S3,H2,6,6,"[4, 5]","[5, 6, 7, 8]",4,61,244,0.027854
ts_36,TS36,S3_H3,S3,H3,6,6,"[4, 5]","[9, 10, 11, 12]",4,61,244,0.027854
ts_36,TS36,S3_H4,S3,H4,6,6,"[4, 5]","[13, 14, 15, 16]",4,61,244,0.027854
ts_36,TS36,S3_H5,S3,H5,6,6,"[4, 5]","[17, 18, 19, 20]",4,61,244,0.027854
ts_36,TS36,S3_H6,S3,H6,6,6,"[4, 5]","[21, 22, 23, 24]",4,61,244,0.027854
ts_36,TS36,S4_H1,S4,H1,6,6,"[6, 7]","[1, 2, 3, 4]",4,61,244,0.027854
ts_36,TS36,S4_H2,S4,H2,6,6,"[6, 7]","[5, 6, 7, 8]",4,61,244,0.027854
ts_36,TS36,S4_H3,S4,H3,6,6,"[6, 7]","[9, 10, 11, 12]",4,61,244,0.027854
ts_36,TS36,S4_H4,S4,H4,6,6,"[6, 7]","[13, 14, 15, 16]",4,61,244,0.027854
ts_36,TS36,S4_H5,S4,H5,6,6,"[6, 7]","[17, 18, 19, 20]",4,61,244,0.027854
ts_36,TS36,S4_H6,S4,H6,6,6,"[6, 7]","[21, 22, 23, 24]",4,61,244,0.027854
ts_36,TS36,S5_H1,S5,H1,6,6,"[8, 9]","[1, 2, 3, 4]",4,61,244,0.027854
ts_36,TS36,S5_H2,S5,H2,6,6,"[8, 9]","[5, 6, 7, 8]",4,61,244,0.027854
ts_36,TS36,S5_H3,S5,H3,6,6,"[8, 9]","[9, 10, 11, 12]",4,61,244,0.027854
ts_36,TS36,S5_H4,S5,H4,6,6,"[8, 9]","[13, 14, 15, 16]",4,61,244,0.027854
ts_36,TS36,S5_H5,S5,H5,6,6,"[8, 9]","[17, 18, 19, 20]",4,61,244,0.027854
ts_36,TS36,S5_H6,S5,H6,6,6,"[8, 9]","[21, 22, 23, 24]",4,61,244,0.027854
ts_36,TS36,S6_H1,S6,H1,6,6,"[10, 11]","[1, 2, 3, 4]",4,61,244,0.027854
ts_36,TS36,S6_H2,S6,H2,6,6,"[10, 11]","[5, 6, 7, 8]",4,61,244,0.027854
ts_36,TS36,S6_H3,S6,H3,6,6,"[10, 11]","[9, 10, 11, 12]",4,61,244,0.027854
ts_36,TS36,S6_H4,S6,H4,6,6,"[10, 11]","[13, 14, 15, 16]",4,61,244,0.027854
ts_36,TS36,S6_H5,S6,H5,6,6,"[10, 11]","[17, 18, 19, 20]",4,61,244,0.027854
ts_36,TS36,S6_H6,S6,H6,6,6,"[10, 11]","[21, 22, 23, 24]",4,61,244,0.027854
ts_48,TS48,S1_H1,S1,H1,6,8,"[1, 12]","[1, 2, 3, 4, 5, 6]",6,62,372,0.042466
ts_48,TS48,S1_H2,S1,H2,6,8,"[1, 12]","[7, 8]",2,62,124,0.014155
ts_48,TS48,S1_H3,S1,H3,6,8,"[1, 12]","[9, 10, 11, 12]",4,62,248,0.028311
ts_48,TS48,S1_H4,S1,H4,6,8,"[1, 12]","[13, 14, 15, 16]",4,62,248,0.028311
ts_48,TS48,S1_H5,S1,H5,6,8,"[1, 12]","[17, 18]",2,62,124,0.014155
ts_48,TS48,S1_H6,S1,H6,6,8,"[1, 12]",[19],1,62,62,0.007078
ts_48,TS48,S1_H7,S1,H7,6,8,"[1, 12]","[20, 21, 22]",3,62,186,0.021233
ts_48,TS48,S1_H8,S1,H8,6,8,"[1, 12]","[23, 24]",2,62,124,0.014155
