fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10CHINA+,China,C2,"1.5°C, high overshoot",2045,1.06,1.05,1.07,USD2010/GJ,7
biomass,R10CHINA+,China,C2,"1.5°C, high overshoot",2050,1.12,1.1,1.12,USD2010/GJ,7
biomass,R10CHINA+,China,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,18
biomass,R10CHINA+,China,C3,Likely below 2°C,2025,1.03,0.99,1.22,USD2010/GJ,18
biomass,R10CHINA+,China,C3,Likely below 2°C,2030,1.03,0.97,1.24,USD2010/GJ,18
biomass,R10CHINA+,China,C3,Likely below 2°C,2035,1.16,0.95,1.74,USD2010/GJ,18
biomass,R10CHINA+,China,C3,Likely below 2°C,2040,1.45,0.99,2.33,USD2010/GJ,18
biomass,R10CHINA+,China,C3,Likely below 2°C,2045,1.74,1.04,2.95,USD2010/GJ,18
biomass,R10CHINA+,China,C3,Likely below 2°C,2050,2.03,1.09,3.53,USD2010/GJ,18
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2020,1.0,1.0,1.0,USD2010/GJ,8
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2025,1.2,1.18,1.22,USD2010/GJ,8
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2030,1.16,1.08,1.27,USD2010/GJ,8
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2035,1.44,1.33,1.53,USD2010/GJ,8
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2040,1.57,1.48,1.69,USD2010/GJ,8
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2045,1.95,1.86,2.06,USD2010/GJ,8
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2050,2.51,2.26,2.69,USD2010/GJ,8
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2020,1.0,1.0,1.0,USD2010/GJ,10
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2025,1.06,0.99,1.17,USD2010/GJ,10
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2030,1.08,0.98,1.16,USD2010/GJ,10
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2035,0.97,0.93,1.14,USD2010/GJ,10
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2040,1.05,0.95,1.09,USD2010/GJ,10
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2045,1.1,0.94,1.13,USD2010/GJ,10
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2050,1.11,0.96,1.14,USD2010/GJ,10
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2025,1.05,1.05,1.05,USD2010/GJ,7
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2030,1.11,1.11,1.11,USD2010/GJ,7
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2035,1.17,1.16,1.17,USD2010/GJ,7
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2040,1.17,1.12,1.19,USD2010/GJ,7
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2045,1.11,1.08,1.13,USD2010/GJ,7
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2050,1.06,1.04,1.08,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2025,1.05,1.05,1.05,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2030,1.11,1.11,1.11,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2035,1.16,1.15,1.16,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2040,1.15,1.11,1.18,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2045,1.16,1.15,1.22,USD2010/GJ,7
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2050,1.22,1.21,1.29,USD2010/GJ,7
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,18
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2025,1.05,0.87,1.05,USD2010/GJ,18
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2030,1.11,1.11,1.17,USD2010/GJ,18
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2035,1.25,1.15,1.54,USD2010/GJ,18
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2040,1.35,1.08,1.85,USD2010/GJ,18
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2045,1.55,1.04,2.23,USD2010/GJ,18
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2050,1.8,1.01,2.85,USD2010/GJ,18
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2020,1.0,1.0,1.0,USD2010/GJ,8
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2025,0.84,0.82,0.84,USD2010/GJ,8
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2030,1.17,1.17,1.17,USD2010/GJ,8
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2035,1.26,1.2,1.3,USD2010/GJ,8
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2040,1.23,1.19,1.3,USD2010/GJ,8
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2045,1.52,1.4,1.6,USD2010/GJ,8
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2050,1.94,1.78,2.12,USD2010/GJ,8
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2020,1.0,1.0,1.0,USD2010/GJ,10
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2025,0.96,0.94,1.05,USD2010/GJ,10
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2030,1.04,0.96,1.11,USD2010/GJ,10
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2035,1.04,0.99,1.09,USD2010/GJ,10
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2040,0.98,0.97,1.03,USD2010/GJ,10
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2045,0.99,0.98,1.0,USD2010/GJ,10
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2050,1.0,0.97,1.06,USD2010/GJ,10
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2025,1.05,1.02,1.05,USD2010/GJ,7
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2030,1.1,1.07,1.1,USD2010/GJ,7
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2035,1.1,1.07,1.13,USD2010/GJ,7
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2040,1.1,1.06,1.15,USD2010/GJ,7
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2045,1.06,1.01,1.1,USD2010/GJ,7
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2050,1.01,0.97,1.05,USD2010/GJ,7
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2025,1.02,1.01,1.05,USD2010/GJ,7
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2030,1.07,1.01,1.1,USD2010/GJ,7
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2035,1.07,1.01,1.11,USD2010/GJ,7
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2040,1.1,1.05,1.16,USD2010/GJ,7
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2045,1.14,1.09,1.18,USD2010/GJ,7
