technology,iea_region,year,capex_lo,capex_mid,capex_hi,fixed_om,efficiency,capacity_factor,unit
en_battery_4h,ieapg_united_states,2025,1390.7,1711.4,2159.9,38.8,,,USD2022/kW
en_battery_4h,ieapg_united_states,2030,1117.6,1451.3,1774.9,32.5,,,USD2022/kW
en_battery_4h,ieapg_united_states,2035,1028.7,1347.4,1717.7,30.0,,,USD2022/kW
en_battery_4h,ieapg_united_states,2040,939.8,1243.5,1660.5,27.5,,,USD2022/kW
en_battery_4h,ieapg_united_states,2045,850.9,1139.6,1603.3,25.0,,,USD2022/kW
en_battery_4h,ieapg_united_states,2050,762.0,1035.8,1546.1,22.5,,,USD2022/kW
en_battery_8h,ieapg_africa,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_africa,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_africa,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_africa,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_africa,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_africa,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_africa,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_brazil,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_brazil,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_brazil,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_brazil,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_brazil,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_brazil,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_brazil,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_china,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_china,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_china,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_china,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_china,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_china,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_china,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_european_union,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_european_union,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_european_union,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_european_union,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_european_union,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_european_union,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_european_union,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_india,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_india,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_india,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_india,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_india,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_india,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_india,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_japan,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_japan,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_japan,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_japan,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_japan,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_japan,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_japan,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_middle_east,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_russia,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_russia,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_russia,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_russia,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_russia,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_russia,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_russia,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_battery_8h,ieapg_united_states,2022,3721.6,3721.6,3721.6,87.3,,,USD2022/kW
en_battery_8h,ieapg_united_states,2025,2436.3,2996.4,3828.0,69.8,,,USD2022/kW
en_battery_8h,ieapg_united_states,2030,1940.6,2470.0,3095.8,57.1,,,USD2022/kW
en_battery_8h,ieapg_united_states,2035,1780.6,2273.5,2993.4,52.3,,,USD2022/kW
en_battery_8h,ieapg_united_states,2040,1617.6,2077.5,2891.0,47.6,,,USD2022/kW
en_battery_8h,ieapg_united_states,2045,1457.5,1882.2,2788.5,42.9,,,USD2022/kW
en_battery_8h,ieapg_united_states,2050,1297.5,1687.7,2686.1,38.2,,,USD2022/kW
en_biomass,ieapg_africa,2022,2150.0,2150.0,2150.0,75.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_africa,2030,2100.0,2100.0,2100.0,75.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_africa,2050,2000.0,2000.0,2000.0,70.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_brazil,2022,2200.0,2200.0,2200.0,75.0,0.35,0.4,USD2022/kW
en_biomass,ieapg_brazil,2030,2150.0,2150.0,2150.0,75.0,0.35,0.4,USD2022/kW
en_biomass,ieapg_brazil,2050,2100.0,2100.0,2100.0,75.0,0.35,0.4,USD2022/kW
en_biomass,ieapg_china,2022,1600.0,1600.0,1600.0,55.0,0.35,0.7,USD2022/kW
en_biomass,ieapg_china,2030,1550.0,1550.0,1550.0,55.0,0.35,0.7,USD2022/kW
en_biomass,ieapg_china,2050,1500.0,1500.0,1500.0,55.0,0.35,0.7,USD2022/kW
en_biomass,ieapg_european_union,2022,2400.0,2400.0,2400.0,85.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_european_union,2030,2350.0,2350.0,2350.0,80.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_european_union,2050,2300.0,2300.0,2300.0,80.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_india,2022,2150.0,2150.0,2150.0,75.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_india,2030,2100.0,2100.0,2100.0,75.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_india,2050,2050.0,2050.0,2050.0,70.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_japan,2022,2350.0,2350.0,2350.0,75.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_japan,2030,2300.0,2300.0,2300.0,80.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_japan,2050,2250.0,2250.0,2250.0,80.0,0.35,0.6,USD2022/kW
en_biomass,ieapg_middle_east,2022,2300.0,2300.0,2300.0,80.0,0.35,0.8,USD2022/kW
en_biomass,ieapg_middle_east,2030,2200.0,2200.0,2200.0,75.0,0.35,0.8,USD2022/kW
en_biomass,ieapg_middle_east,2050,2100.0,2100.0,2100.0,75.0,0.35,0.8,USD2022/kW
en_biomass,ieapg_russia,2022,2250.0,2250.0,2250.0,80.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_russia,2030,2200.0,2200.0,2200.0,75.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_russia,2050,2100.0,2100.0,2100.0,75.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_united_states,2022,2500.0,2500.0,2500.0,85.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_united_states,2030,2450.0,2450.0,2450.0,85.0,0.35,0.5,USD2022/kW
en_biomass,ieapg_united_states,2050,2350.0,2350.0,2350.0,85.0,0.35,0.5,USD2022/kW
en_biomass_ccs,ieapg_africa,2022,4900.0,4900.0,4900.0,170.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_africa,2030,4850.0,4850.0,4850.0,170.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_africa,2050,4350.0,4350.0,4350.0,150.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_brazil,2022,4550.0,4550.0,4550.0,160.0,0.3,0.4,USD2022/kW
en_biomass_ccs,ieapg_brazil,2030,4500.0,4500.0,4500.0,160.0,0.3,0.4,USD2022/kW
en_biomass_ccs,ieapg_brazil,2050,4050.0,4050.0,4050.0,145.0,0.3,0.4,USD2022/kW
