fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10CHINA+,China,C2,"1.5°C, high overshoot",2045,13.88,11.92,19.43,USD2010/GJ,64
biomass,R10CHINA+,China,C2,"1.5°C, high overshoot",2050,16.34,13.13,23.94,USD2010/GJ,74
biomass,R10CHINA+,China,C3,Likely below 2°C,2020,2.88,1.65,5.31,USD2010/GJ,166
biomass,R10CHINA+,China,C3,Likely below 2°C,2025,4.47,2.52,5.73,USD2010/GJ,157
biomass,R10CHINA+,China,C3,Likely below 2°C,2030,5.38,3.5,6.27,USD2010/GJ,180
biomass,R10CHINA+,China,C3,Likely below 2°C,2035,6.48,5.56,7.61,USD2010/GJ,149
biomass,R10CHINA+,China,C3,Likely below 2°C,2040,6.64,5.7,9.76,USD2010/GJ,178
biomass,R10CHINA+,China,C3,Likely below 2°C,2045,7.36,6.16,10.82,USD2010/GJ,153
biomass,R10CHINA+,China,C3,Likely below 2°C,2050,9.78,6.55,14.57,USD2010/GJ,179
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2020,3.24,1.68,8.68,USD2010/GJ,49
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2025,2.89,2.03,3.46,USD2010/GJ,57
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2030,3.29,2.17,5.05,USD2010/GJ,64
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2035,5.42,4.64,6.73,USD2010/GJ,57
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2040,5.29,4.64,6.33,USD2010/GJ,63
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2045,5.96,5.36,6.92,USD2010/GJ,55
biomass,R10CHINA+,China,C4,Below 2°C with lower probability,2050,6.57,5.68,9.45,USD2010/GJ,63
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2020,2.09,1.01,6.18,USD2010/GJ,47
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2025,4.18,1.8,5.27,USD2010/GJ,43
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2030,3.35,2.34,5.58,USD2010/GJ,48
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2035,4.31,2.92,6.46,USD2010/GJ,43
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2040,3.83,2.81,5.62,USD2010/GJ,48
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2045,3.63,3.08,6.04,USD2010/GJ,43
biomass,R10CHINA+,China,C7,High-warming weak-policy (reference),2050,2.85,1.87,5.9,USD2010/GJ,48
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2020,3.24,2.09,3.99,USD2010/GJ,49
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2025,6.56,4.02,7.59,USD2010/GJ,48
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2030,7.67,6.63,8.63,USD2010/GJ,48
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2035,8.05,6.98,9.81,USD2010/GJ,47
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2040,11.4,8.71,14.14,USD2010/GJ,46
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2045,17.92,14.5,20.2,USD2010/GJ,47
biomass,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2050,20.01,14.58,24.83,USD2010/GJ,48
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2020,4.36,3.13,4.78,USD2010/GJ,75
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2025,4.96,3.6,7.15,USD2010/GJ,64
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2030,5.82,4.96,8.8,USD2010/GJ,75
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2035,6.31,4.78,9.11,USD2010/GJ,64
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2040,9.47,7.58,10.89,USD2010/GJ,72
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2045,12.52,9.86,18.62,USD2010/GJ,64
biomass,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2050,16.51,12.52,22.98,USD2010/GJ,73
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2020,3.24,2.04,4.29,USD2010/GJ,160
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2025,3.07,2.07,5.0,USD2010/GJ,157
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2030,5.37,2.94,6.34,USD2010/GJ,180
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2035,5.44,3.02,6.39,USD2010/GJ,152
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2040,6.02,4.01,7.36,USD2010/GJ,176
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2045,7.1,5.85,9.69,USD2010/GJ,153
biomass,R10EUROPE,Europe,C3,Likely below 2°C,2050,8.11,6.43,13.13,USD2010/GJ,180
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2020,4.36,3.4,4.5,USD2010/GJ,58
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2025,2.05,1.77,2.2,USD2010/GJ,49
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2030,2.94,2.0,5.67,USD2010/GJ,64
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2035,3.3,2.03,4.52,USD2010/GJ,58
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2040,3.15,2.12,4.28,USD2010/GJ,63
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2045,4.33,2.64,5.27,USD2010/GJ,57
biomass,R10EUROPE,Europe,C4,Below 2°C with lower probability,2050,4.81,2.94,6.03,USD2010/GJ,63
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2020,3.14,1.01,6.83,USD2010/GJ,48
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2025,2.95,1.44,5.01,USD2010/GJ,43
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2030,4.38,1.82,6.26,USD2010/GJ,48
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2035,4.12,2.1,6.49,USD2010/GJ,43
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2040,2.83,1.62,5.02,USD2010/GJ,48
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2045,3.19,2.82,6.04,USD2010/GJ,43
biomass,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2050,1.93,1.14,4.85,USD2010/GJ,48
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2020,3.24,2.09,3.73,USD2010/GJ,49
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2025,6.45,4.06,7.6,USD2010/GJ,45
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2030,7.68,6.63,9.01,USD2010/GJ,48
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2035,8.05,6.88,10.42,USD2010/GJ,47
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2040,12.72,8.78,17.33,USD2010/GJ,48
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2045,18.6,13.9,22.71,USD2010/GJ,47
biomass,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2050,19.95,15.43,23.81,USD2010/GJ,47
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2020,4.37,3.24,4.86,USD2010/GJ,64
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2025,6.95,4.47,7.95,USD2010/GJ,64
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2030,7.48,5.67,9.43,USD2010/GJ,75
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2035,8.01,5.67,11.13,USD2010/GJ,64
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2040,11.67,9.52,17.62,USD2010/GJ,75
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2045,14.41,12.06,22.18,USD2010/GJ,64
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2050,17.33,14.81,29.57,USD2010/GJ,72
biomass,R10INDIA+,India,C3,Likely below 2°C,2020,3.36,1.49,3.73,USD2010/GJ,177
biomass,R10INDIA+,India,C3,Likely below 2°C,2025,4.5,2.27,5.65,USD2010/GJ,157
biomass,R10INDIA+,India,C3,Likely below 2°C,2030,5.67,2.46,6.61,USD2010/GJ,180
biomass,R10INDIA+,India,C3,Likely below 2°C,2035,6.24,3.55,7.56,USD2010/GJ,154
biomass,R10INDIA+,India,C3,Likely below 2°C,2040,7.37,5.5,10.87,USD2010/GJ,176
biomass,R10INDIA+,India,C3,Likely below 2°C,2045,8.36,4.97,11.28,USD2010/GJ,152
biomass,R10INDIA+,India,C3,Likely below 2°C,2050,10.96,6.15,16.58,USD2010/GJ,177
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2020,3.73,3.36,4.46,USD2010/GJ,64
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2025,2.67,1.48,4.31,USD2010/GJ,58
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2030,2.48,2.33,4.34,USD2010/GJ,64
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2035,5.01,3.41,5.65,USD2010/GJ,58
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2040,5.5,3.43,7.63,USD2010/GJ,64
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2045,6.61,3.3,9.62,USD2010/GJ,57
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2050,7.31,3.49,12.28,USD2010/GJ,63
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2020,3.17,0.92,5.16,USD2010/GJ,48
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2025,4.14,1.46,5.32,USD2010/GJ,43
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2030,4.57,2.17,6.79,USD2010/GJ,48
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2035,4.31,2.61,6.61,USD2010/GJ,43
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2040,3.04,2.64,6.64,USD2010/GJ,48
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2045,3.26,2.9,6.09,USD2010/GJ,43
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2050,2.81,1.74,7.0,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2020,2.09,1.4,3.24,USD2010/GJ,49
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2025,5.84,3.72,7.24,USD2010/GJ,47
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2030,7.52,6.5,8.53,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2035,8.0,6.75,9.39,USD2010/GJ,47
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2040,11.66,8.74,14.15,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2045,17.12,8.87,19.66,USD2010/GJ,49
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2050,19.83,11.08,23.74,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2020,3.04,1.75,3.4,USD2010/GJ,75
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2025,4.61,3.13,7.07,USD2010/GJ,64
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2030,6.12,4.47,8.25,USD2010/GJ,75
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2035,5.8,3.56,7.26,USD2010/GJ,64
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2040,9.16,6.66,11.65,USD2010/GJ,74
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2045,12.03,5.93,15.25,USD2010/GJ,64
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2050,14.7,7.38,18.1,USD2010/GJ,73
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2020,2.02,1.4,3.24,USD2010/GJ,180
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2025,2.89,2.29,5.0,USD2010/GJ,157
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2030,4.33,2.88,6.18,USD2010/GJ,180
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2035,4.94,2.1,6.35,USD2010/GJ,157
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2040,5.4,3.15,6.82,USD2010/GJ,177
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2045,5.9,3.04,8.7,USD2010/GJ,156
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2050,6.74,4.56,11.59,USD2010/GJ,180
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2020,1.83,1.4,2.05,USD2010/GJ,61
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2025,2.08,1.25,2.6,USD2010/GJ,57
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2030,2.95,2.43,4.43,USD2010/GJ,64
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2035,2.72,2.02,3.93,USD2010/GJ,57
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2040,2.69,2.06,4.9,USD2010/GJ,63
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2045,2.42,2.03,3.7,USD2010/GJ,55
