demand_variable,r10_region,region_label,ar6_category,category_label,year,median_twh,q25_twh,q75_twh,unit,n_scenarios
elec_buildings,R10CHINA+,China,C2,"1.5°C, high overshoot",2035,4713.17,4546.91,6500.14,TWh/yr,85
elec_buildings,R10CHINA+,China,C2,"1.5°C, high overshoot",2040,5492.49,5147.54,6886.63,TWh/yr,96
elec_buildings,R10CHINA+,China,C2,"1.5°C, high overshoot",2045,6294.78,5827.67,7312.0,TWh/yr,85
elec_buildings,R10CHINA+,China,C2,"1.5°C, high overshoot",2050,7052.97,6247.97,7723.1,TWh/yr,96
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2020,3120.0,2496.98,3402.73,TWh/yr,241
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2025,3376.4,2922.23,4544.39,TWh/yr,218
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2030,3987.94,3074.41,5486.84,TWh/yr,241
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2035,4696.61,3550.82,6410.91,TWh/yr,218
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2040,5254.25,3922.55,6917.27,TWh/yr,241
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2045,6159.96,4859.17,7361.86,TWh/yr,218
elec_buildings,R10CHINA+,China,C3,Likely below 2°C,2050,6674.33,5330.93,7323.41,TWh/yr,241
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2020,2889.57,2502.51,3325.4,TWh/yr,102
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2025,3207.74,2889.92,3713.04,TWh/yr,96
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2030,3775.72,2785.01,4177.09,TWh/yr,102
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2035,4342.28,3262.22,4775.43,TWh/yr,96
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2040,4437.15,3723.07,5134.99,TWh/yr,101
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2045,5125.76,3975.28,5875.4,TWh/yr,96
elec_buildings,R10CHINA+,China,C4,Below 2°C with lower probability,2050,5507.37,3870.67,6328.73,TWh/yr,102
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2020,3325.4,2502.93,3486.39,TWh/yr,70
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2025,3904.7,3448.43,4857.76,TWh/yr,65
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2030,4767.87,4307.6,6005.68,TWh/yr,70
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2035,5613.69,4868.55,6980.02,TWh/yr,65
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2040,5976.5,5141.55,7564.78,TWh/yr,70
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2045,6850.47,5803.72,7809.02,TWh/yr,65
elec_buildings,R10CHINA+,China,C7,High-warming weak-policy (reference),2050,6851.42,5978.4,7745.04,TWh/yr,70
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2020,2063.57,2050.81,2309.25,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2025,2150.89,2095.81,2407.87,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2030,2376.71,2307.98,2726.12,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2035,2781.67,2545.27,3136.89,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2040,3119.07,2807.55,3549.82,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2045,3378.97,3008.7,3781.74,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2050,3415.28,3100.2,4138.04,TWh/yr,68
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2020,2351.59,2094.95,2443.19,TWh/yr,97
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2025,2426.38,2159.14,2540.69,TWh/yr,85
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2030,2661.16,2367.37,2798.91,TWh/yr,92
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2035,2847.54,2564.86,2997.46,TWh/yr,85
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2040,3263.87,2880.92,3605.31,TWh/yr,97
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2045,3403.72,3146.0,3862.42,TWh/yr,86
elec_buildings,R10EUROPE,Europe,C2,"1.5°C, high overshoot",2050,3784.54,3341.43,4523.62,TWh/yr,97
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2020,2184.04,2052.96,2290.06,TWh/yr,228
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2025,2236.2,2155.65,2532.91,TWh/yr,199
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2030,2418.76,2345.01,2676.41,TWh/yr,222
