iso3,technology,technology_label,annual_mean_cf,def_ts01,def_ts12,def_ts288,def_reduction_pct_ts01_to_ts288,def_reduction_pct_ts01_to_ts12,pct_of_total_improvement_captured_by_ts12
KGZ,won,Wind onshore,0.0542,0.4153,0.4038,0.3884,6.4634,2.7611,42.7189
KHM,spv,Solar PV,0.2111,0.5445,0.2105,0.0929,82.9319,61.3431,73.9681
KHM,wof,,0.1537,0.528,0.4517,0.3962,24.9612,14.4382,57.8428
KHM,won,Wind onshore,0.1464,0.403,0.3569,0.3095,23.2042,11.4405,49.3035
KOR,spv,Solar PV,0.1911,0.5584,0.2364,0.1454,73.956,57.6751,77.9857
KOR,wof,,0.3945,0.3537,0.3399,0.3264,7.709,3.9015,50.6091
KOR,won,Wind onshore,0.289,0.3406,0.3236,0.3088,9.3368,5.0087,53.6444
KWT,spv,Solar PV,0.2585,0.5253,0.1703,0.0456,91.3258,67.5711,73.9891
KWT,wof,,0.3015,0.4077,0.3824,0.361,11.4623,6.1976,54.0695
KWT,won,Wind onshore,0.3938,0.3635,0.3356,0.3176,12.6416,7.6839,60.7825
LAO,spv,Solar PV,0.2047,0.5463,0.2151,0.0974,82.1621,60.6165,73.7768
LAO,won,Wind onshore,0.2114,0.4266,0.3734,0.323,24.2752,12.4676,51.3595
LBN,spv,Solar PV,0.2616,0.5275,0.1615,0.0682,87.0665,69.3892,79.6968
LBN,wof,,0.1212,0.4926,0.466,0.4485,8.9503,5.4024,60.3592
LBN,won,Wind onshore,0.09,0.5015,0.4753,0.449,10.4679,5.2318,49.9793
LBR,spv,Solar PV,0.1845,0.5583,0.2335,0.1058,81.0499,58.1794,71.7822
LBR,wof,,0.0852,0.4509,0.3561,0.3236,28.247,21.0367,74.474
LBR,won,Wind onshore,0.0394,0.4457,0.3732,0.3191,28.4202,16.2799,57.2831
LBY,spv,Solar PV,0.2913,0.5139,0.1308,0.0268,94.7771,74.5423,78.6502
LBY,wof,,0.3944,0.3467,0.319,0.3053,11.9404,8.002,67.0165
LBY,won,Wind onshore,0.5212,0.2909,0.2724,0.239,17.8521,6.3514,35.578
LKA,spv,Solar PV,0.2153,0.5305,0.1863,0.0818,84.5856,64.8909,76.7162
LKA,wof,,0.4479,0.3231,0.2449,0.174,46.1365,24.1913,52.4342
LKA,won,Wind onshore,0.3276,0.3922,0.2744,0.1981,49.4795,30.0331,60.698
LSO,spv,Solar PV,0.2431,0.5235,0.1894,0.0886,83.0755,63.8127,76.8129
LSO,won,Wind onshore,0.0924,0.5523,0.4968,0.4427,19.8517,10.0563,50.6572
LTU,spv,Solar PV,0.142,0.5912,0.2642,0.1787,69.7783,55.3099,79.2651
LTU,wof,,0.403,0.364,0.3396,0.3222,11.4802,6.695,58.3175
LTU,won,Wind onshore,0.3538,0.3674,0.3428,0.324,11.8146,6.7067,56.7663
LUX,spv,Solar PV,0.1462,0.596,0.288,0.2116,64.4949,51.6856,80.1391
LUX,won,Wind onshore,0.2955,0.4163,0.3954,0.3728,10.4313,5.006,47.99
LVA,spv,Solar PV,0.1415,0.5814,0.2499,0.1579,72.8378,57.0191,78.2823
LVA,wof,,0.4463,0.3587,0.3382,0.3181,11.3329,5.7188,50.4621
LVA,won,Wind onshore,0.3644,0.3388,0.3141,0.2949,12.9569,7.2803,56.1887
MAR,spv,Solar PV,0.2788,0.5211,0.1418,0.0567,89.1252,72.7832,81.6641
MAR,wof,,0.5529,0.322,0.2906,0.2732,15.1669,9.7439,64.2448
MAR,won,Wind onshore,0.435,0.2887,0.2685,0.2483,14.0187,7.0219,50.0896
MDA,spv,Solar PV,0.174,0.5742,0.2664,0.1712,70.185,53.6022,76.3728
MDA,won,Wind onshore,0.2648,0.3912,0.3734,0.3627,7.2868,4.5644,62.6397
MDG,spv,Solar PV,0.2357,0.526,0.1683,0.0734,86.0406,68.0073,79.041
MDG,wof,,0.6059,0.2675,0.2628,0.2489,6.9687,1.7537,25.1648
MDG,won,Wind onshore,0.2883,0.3081,0.2321,0.2048,33.5305,24.6678,73.5683
MEX,spv,Solar PV,0.2853,0.5087,0.1566,0.0507,90.0404,69.2237,76.8806
MEX,wof,,0.3585,0.2015,0.1833,0.1733,14.0259,9.0399,64.4517
MEX,won,Wind onshore,0.3908,0.2681,0.2467,0.2304,14.0571,8.0081,56.9684
MKD,spv,Solar PV,0.1994,0.5469,0.21,0.1244,77.261,61.609,79.7414
MKD,won,Wind onshore,0.0646,0.5518,0.5394,0.5194,5.8638,2.2402,38.2044
