iso3,technology,technology_label,annual_mean_cf,def_ts01,def_ts12,def_ts288,def_reduction_pct_ts01_to_ts288,def_reduction_pct_ts01_to_ts12,pct_of_total_improvement_captured_by_ts12
TTO,won,Wind onshore,0.4206,0.2643,0.2108,0.1872,29.1752,20.2435,69.3862
TUN,spv,Solar PV,0.2658,0.5248,0.1433,0.0493,90.6008,72.6916,80.2328
TUN,wof,,0.3835,0.392,0.3668,0.3521,10.1946,6.4367,63.1381
TUN,won,Wind onshore,0.4092,0.3792,0.3463,0.3251,14.2789,8.6854,60.8267
TUR,spv,Solar PV,0.2432,0.5236,0.1561,0.0659,87.4169,70.1914,80.295
TUR,wof,,0.4193,0.2961,0.2832,0.2653,10.3999,4.3533,41.8593
TUR,won,Wind onshore,0.1856,0.2641,0.2484,0.2279,13.6823,5.927,43.3185
TWN,spv,Solar PV,0.1887,0.5478,0.2369,0.1239,77.3747,56.7459,73.3391
TWN,wof,,0.6106,0.2869,0.2555,0.2385,16.8529,10.9486,64.9658
TWN,won,Wind onshore,0.2794,0.3398,0.2991,0.2809,17.3247,11.9732,69.1104
TZA,spv,Solar PV,0.2566,0.5137,0.1531,0.0622,87.9011,70.1933,79.8549
TZA,wof,,0.2652,0.3405,0.2766,0.2193,35.6134,18.7784,52.7285
TZA,won,Wind onshore,0.2337,0.3304,0.226,0.1762,46.6713,31.5888,67.6836
UGA,spv,Solar PV,0.2306,0.5305,0.1798,0.0715,86.5144,66.1038,76.4079
UGA,won,Wind onshore,0.1037,0.5032,0.423,0.3377,32.8852,15.9305,48.4428
UKR,spv,Solar PV,0.1879,0.5486,0.2049,0.1067,80.5489,62.6473,77.7755
UKR,wof,,0.34,0.3422,0.325,0.3097,9.512,5.0372,52.9563
UKR,won,Wind onshore,0.3657,0.3123,0.287,0.2685,14.0268,8.1063,57.7914
URY,spv,Solar PV,0.1989,0.5636,0.2456,0.1663,70.4941,56.4203,80.0356
URY,wof,,0.5002,0.3374,0.332,0.3248,3.7378,1.5978,42.7459
URY,won,Wind onshore,0.3502,0.3582,0.3432,0.3315,7.4509,4.1647,55.8945
USA,spv,Solar PV,0.2855,0.5058,0.1436,0.0493,90.2554,71.6124,79.3442
USA,wof,,0.3614,0.22,0.2043,0.198,9.982,7.1056,71.1847
USA,won,Wind onshore,0.45,0.2131,0.1979,0.1923,9.7584,7.1271,73.0358
UZB,spv,Solar PV,0.2367,0.5334,0.1776,0.0781,85.353,66.692,78.1367
UZB,won,Wind onshore,0.4399,0.338,0.3264,0.3144,6.9775,3.433,49.2007
VEN,spv,Solar PV,0.2328,0.5204,0.1685,0.0499,90.4119,67.6229,74.7942
VEN,wof,,0.6912,0.2031,0.1565,0.1394,31.3507,22.9307,73.1425
VEN,won,Wind onshore,0.6245,0.2131,0.156,0.1356,36.3944,26.7921,73.616
VNM,spv,Solar PV,0.2083,0.538,0.1943,0.0799,85.1457,63.8865,75.032
VNM,wof,,0.475,0.3369,0.2715,0.2371,29.607,19.4001,65.5256
VNM,won,Wind onshore,0.2033,0.3696,0.3351,0.3064,17.0988,9.342,54.6353
YEM,spv,Solar PV,0.2632,0.5285,0.1683,0.033,93.7622,68.1489,72.6827
YEM,wof,,0.5342,0.2927,0.2535,0.1991,31.9931,13.3965,41.8732
YEM,won,Wind onshore,0.6008,0.2581,0.24,0.1934,25.045,6.9913,27.9152
ZAF,spv,Solar PV,0.2685,0.5119,0.1371,0.051,90.0415,73.2225,81.3208
ZAF,wof,,0.4941,0.2407,0.2362,0.2283,5.1525,1.8752,36.3935
ZAF,won,Wind onshore,0.3509,0.2254,0.2159,0.1961,13.0214,4.2083,32.3188
ZMB,spv,Solar PV,0.2368,0.5184,0.149,0.068,86.885,71.2671,82.0247
ZMB,won,Wind onshore,0.2724,0.3564,0.2612,0.2212,37.9346,26.7036,70.3939
ZWE,spv,Solar PV,0.2402,0.5247,0.1918,0.089,83.0409,63.4499,76.408
ZWE,won,Wind onshore,0.3053,0.3641,0.3182,0.2853,21.6275,12.5856,58.1927
